"ENSEMBL","SYMBOL","gene_type","strand","chrom","WT_Latent_c3-1","WT_Late_c3-1","WT_Latent_c3-2","WT_Late_c3-2","WT_Latent_c3-3","WT_Late_c3-3","WT_Latent_c4-1","WT_Late_c4-1","WT_Latent_c4-2","WT_Late_c4-2","log2FoldChange","pvalue","padj","WT_Latent_groupMean","WT_Late_groupMean","baseMean"
"ENSG00000000457","SCYL3","protein_coding","-","chr1",28.3841685366898,20.2593390953271,20.2101699503091,28.8784002624293,18.500308768029,21.1744047996034,23.3950033141277,14.1805333904985,32.3575635368559,10.4421932143761,-0.337813633065317,0.325179775100943,0.36105370046795,24.5694428212023,18.9869741524469,21.7782084868246
"ENSG00000000460","FIRRM","protein_coding","+","chr1",631.130335698161,175.822121434446,665.380979902485,196.685320706275,422.423716869996,150.338274077184,622.89196323865,81.6798723292711,605.968917144757,63.6973786076943,-2.06181663725932,1.19667397898397e-09,2.42837256223088e-09,589.55918257081,133.644593430974,361.601888000892
"ENSG00000002919","SNX11","protein_coding","+","chr17",130.233243874224,41.9657738403204,77.7314228858043,29.6588975668193,98.6683134294882,31.055793706085,193.008777341554,39.7054934933957,127.959455804839,33.4150182860036,-1.76360455577794,1.47783496443153e-08,2.80721162193387e-08,125.520242667182,35.1601953785248,80.3402190228533
"ENSG00000003756","RBM5","protein_coding","+","chr3",20.0358836729575,149.774399740454,27.9833122388896,41.366357132669,9.25015438401451,47.9953175457677,64.3362591138512,72.0371096237322,41.1823535923621,41.7687728575045,0.952782410051528,0.0266600379812845,0.0324602218542859,32.557592600415,70.5883913800254,51.5729919902202
"ENSG00000004142","POLDIP2","protein_coding","-","chr17",93.5007904738017,88.2728346296394,118.151762786423,81.1717196565581,92.5015438401451,76.9336707718924,97.9665763779098,39.1382721577757,94.1310939253991,18.795947785877,-0.628821351371056,0.0748319466124595,0.0880209890408572,99.2503534807357,60.8624890003485,80.0564212405421
"ENSG00000004455","AK2","protein_coding","-","chr1",95.1704474465481,13.023860846996,68.4036521395078,9.36596765267978,117.168622197517,14.1162698664023,96.5043886707768,3.40332801371963,67.6567237588806,4.17687728575044,-3.27140534070383,9.85883722875119e-16,2.9647780389112e-15,88.9807668426461,8.81726073310962,48.8990137878779
"ENSG00000005812","FBXL3","protein_coding","-","chr13",11.6875988092252,101.296695476635,40.4203399006182,101.464649570698,12.333539178686,119.282480371099,26.3193787283937,73.738773630592,20.591176796181,45.9456501432549,1.86744255501107,1.7907613593481e-06,2.88370345350506e-06,22.2704066826208,88.3456498384558,55.3080282605383
"ENSG00000006704","GTF2IRD1","protein_coding","+","chr7",0,39.7951303658211,3.10925691543217,28.0979029580393,0,30.3499802127649,1.46218770713298,21.5544107535577,2.94159668516872,11.4864125358137,3.83377785987725,1.17592765893791e-07,2.08701242655521e-07,1.50260826154678,26.2567673651993,13.8796878133731
"ENSG00000006715","VPS41","protein_coding","-","chr7",40.071767345915,15.9180521463284,24.8740553234574,18.7319353053596,33.9172327413866,14.1162698664023,43.8656312139894,7.94109869867914,50.0071436478683,3.13265796431283,-1.57414514856724,0.000114172758621912,0.00016510730331419,38.5471660545233,11.9680027962164,25.2575844253699
"ENSG00000007080","CCDC124","protein_coding","+","chr19",8.34828486373229,41.9657738403204,10.8823992040126,43.707849045839,15.4169239733575,47.9953175457677,27.7815664355266,26.0921814385172,5.88319337033744,14.6190705001266,1.18548457003796,0.00512321195810616,0.00661196331304704,13.6624735693933,34.8760384741142,24.2692560217537
"ENSG00000007384","RHBDF1","protein_coding","-","chr16",945.025846574496,104.190886775968,1096.01306268984,109.269622614597,925.015438401451,100.225516051456,1272.10330520569,68.0665602743926,805.99749173623,48.0340887861301,-3.50984560354152,4.44030454136895e-31,4.50528460782801e-30,1008.83102892154,85.9573349005088,547.394181911026
"ENSG00000007944","MYLIP","protein_coding","+","chr6",76.8042207463371,20.2593390953271,68.4036521395078,0,80.1680046614591,9.17557541316148,77.495948478048,7.94109869867914,83.8355055273086,8.8758642322197,-2.9330292164093,2.01646865660085e-10,4.35389772221083e-10,77.3414663105321,9.25037548787748,43.2959208992048
"ENSG00000008323",NA,NA,NA,NA,23.3751976184504,121.556034571962,7.77314228858043,101.464649570698,6.16676958934301,114.341785917858,8.77312624279789,65.7976749319128,4.41239502775308,48.0340887861301,3.05688707953783,1.73495207779938e-11,3.98751416775989e-11,10.100126153385,90.2388467557123,50.1694864545486
"ENSG00000008952","SEC62","protein_coding","+","chr3",5.00897091823938,204.040486602937,17.1009130348769,150.635979747267,12.333539178686,136.927817704102,14.6218770713298,97.5620697266294,10.2955883980905,50.1225274290053,3.31499922850281,1.10231758696367e-13,2.89010997590474e-13,11.8721777202445,127.857776241988,69.8649769811163
"ENSG00000010030","ETV7","protein_coding","-","chr6",30.0538255094363,17.3651477959946,37.3110829851861,8.5854703482898,27.7504631520435,9.17557541316148,140.370019884766,13.6133120548785,94.1310939253991,12.5306318572513,-2.27943177298087,5.60292764288798e-07,9.41110861147267e-07,65.9232970913662,12.2540274939152,39.0886622926407
"ENSG00000010244","ZNF207","protein_coding","+","chr17",1145.38468330407,34.0067477671562,665.380979902485,20.2929299141395,1193.26991553787,28.9383532261247,1816.03713225916,40.8399361646356,1957.63259397978,33.9371279467224,-5.37206092212707,3.54403919734686e-52,1.92302648621256e-50,1355.54106099668,31.6030190037557,693.572040000215
"ENSG00000010310","GIPR","protein_coding","+","chr19",70.1255928553513,23.1535303946595,139.916561194448,7.80497304389982,107.918467813503,9.88138890648159,122.82376739917,28.3610667809969,104.42668232349,27.1497023573779,-2.39014241536074,3.89832051154773e-10,8.21808107839792e-10,109.042214317192,19.2701322966831,64.1561733069377
"ENSG00000012817","KDM5D","protein_coding","-","chrY",515.924004578656,70.1841390088117,528.573675623469,57.7568005248587,348.42248179788,59.2883334388895,435.731936725629,20.4199680823178,461.830679571489,15.1411801608454,-3.28151439163914,2.02673144495788e-16,6.40344517293021e-16,458.096555659425,44.5580842431446,251.327319951285
"ENSG00000022840","RNF10","protein_coding","+","chr12",21.705540645704,193.910817055273,27.9833122388896,126.440563311177,27.7504631520435,176.453373330028,35.0925049711916,116.847595137707,26.4743701665185,96.0681775722602,2.27638979153913,4.54589591248571e-12,1.07652335840269e-11,27.8012382348694,141.944105281289,84.8726717580793
"ENSG00000023902","PLEKHO1","protein_coding","+","chr1",911.632707119566,73.8018781329772,522.355161792605,81.1717196565581,570.426187014228,69.1697223453711,792.505737266076,51.0499202057944,750.107154718024,40.7245535360668,-3.4468885529488,1.25297297788384e-30,1.24103990190399e-29,709.4053895821,63.1835587753535,386.294474178727
"ENSG00000025293","PHF20","protein_coding","+","chr20",41.7414243186615,64.3957564101468,45.0842252737665,26.5369083492594,74.0012350721161,32.4674206927252,73.1093853566491,23.8232960960374,42.6531519349465,31.8486893038471,-0.564324844688623,0.0925461307044218,0.107740271566342,55.3178843912279,35.8144141704032,45.5661492808156
"ENSG00000026103","FAS","protein_coding","+","chr10",90.1614765283088,0.72354782483311,62.1851383086435,0,80.1680046614591,1.41162698664023,83.34469930658,0.567221335619938,97.0726906105678,0.522109660718806,-6.85878746532453,3.20877104434431e-22,1.57041029934969e-21,82.5864018831118,0.644901161562416,41.6156515223371
"ENSG00000026751","SLAMF7","protein_coding","+","chr1",98.5097613920411,78.1431650819759,99.4962212938295,21.8539245229195,89.4181590454736,31.055793706085,210.555029827149,56.7221335619938,179.437397795292,85.6259843578841,-1.18334248309099,0.00205843555064638,0.00274458073419517,135.483313870757,54.6802002461717,95.0817570584644
"ENSG00000028116","VRK2","protein_coding","+","chr2",908.293393174073,81.0373563813083,760.213315823166,75.7082385258282,442.465718035361,106.577837491337,1057.16171225715,85.0832003429907,970.726906105678,44.9014308218173,-3.34008881514044,2.20076754039431e-24,1.34635190706476e-23,827.772209079085,78.6616127126563,453.216910895871
"ENSG00000029363","BCLAF1","protein_coding","-","chr6",130.233243874224,26.7712695188251,125.924905075003,28.8784002624293,126.418776581532,29.6441667194448,206.16846670575,28.9282881166169,166.200212712033,15.6632898215642,-2.48574751802186,5.68457991888714e-16,1.72612061770588e-15,150.989120989708,25.977082887776,88.4831019387422
"ENSG00000031691","CENPQ","protein_coding","+","chr6",8.34828486373229,63.6722085853137,21.7647984080252,42.146854437059,10.7918467813503,57.1708929589292,20.4706278998617,55.587690890754,11.7663867406749,27.6718120180967,1.63003313348626,1.98590909166927e-05,3.01143930304162e-05,14.6283889387289,49.2498917780305,31.9391403583797
"ENSG00000031698","SARS1","protein_coding","+","chr1",16.6965697274646,70.9076868336448,15.5462845771609,99.9036549619177,20.0420011653648,112.930158931218,26.3193787283937,59.5582402400935,17.6495801110123,33.4150182860036,1.85073242983399,1.61892379380617e-06,2.62051477907925e-06,19.2507628618792,75.3429518505755,47.2968573562274
"ENSG00000035928","RFC1","protein_coding","-","chr4",31.7234824821827,95.5083128779705,26.4286837811735,87.415698091678,44.7090795227368,77.6394842652125,30.7059418497926,55.020469555134,14.7079834258436,50.1225274290053,1.21050927701953,0.000375109164493245,0.000521309841077472,29.6550342123458,73.1412984438001,51.398166328073
"ENSG00000036549","ZZZ3","protein_coding","-","chr1",40.071767345915,17.3651477959946,26.4286837811735,12.4879568702397,52.4175415094156,11.9988293864419,54.1009451639203,5.10499202057945,33.8283618794403,7.30953525006328,-1.83709449051062,1.84529645649417e-06,2.96769327023804e-06,41.3694599359729,10.8532922646638,26.1113761003184
"ENSG00000038210","PI4K2B","protein_coding","+","chr4",292.18997023063,59.330921636315,203.656327960807,46.8298382633989,206.586781242991,43.760436585847,561.480079539065,47.6465921920748,473.597066312164,33.4150182860036,-2.83830145786022,1.02438176400054e-15,3.07314529200161e-15,347.502045057132,46.1965613927279,196.84930322493
"ENSG00000039123","MTREX","protein_coding","+","chr5",425.762528050347,49.2012520886515,275.169237015747,26.5369083492594,181.919702885619,31.7616071994051,359.698175954713,21.5544107535577,342.696013822156,22.4507154109086,-3.33025861388974,2.02437272915909e-22,1.01056686639622e-21,317.049131545716,30.3009787603565,173.675055153036
