"ENSEMBL","SYMBOL","gene_type","strand","chrom","WT_Latent_c3-1","WT_Latent_c3-2","WT_Latent_c3-3","WT_Latent_c4-1","WT_Latent_c4-2","dBGLF5_Latent_c2-1","dBGLF5_Latent_c2-2","dBGLF5_Latent_c2-3","log2FoldChange","pvalue","padj","dBGLF5_Latent_groupMean","WT_Latent_groupMean","baseMean"
NA,"BALF1",NA,"-","chrEBV",10.9843837873966,11.7508603542938,11.4808634437549,14.1742840691083,3.24681385236058,13.7613470556797,15.9169111305367,5.61283487653529,-0.0159077839500306,0.167706907549393,0.211635740722296,11.7636976875839,10.3274411013828,10.8660373212082
NA,"BALF2",NA,"-","chrEBV",300.267022565946,526.305135160752,281.76913999156,425.559871490715,252.427039071185,480.105653355242,289.099740917567,422.834676541811,-0.0581769471582985,0.00400642847931981,0.00755529288134618,397.34669027154,357.265641656032,372.296034886847
NA,"BaRF1",NA,"+","chrEBV",120.65813797443,186.559063032559,104.227752660327,303.114149386796,297.750146580738,747.3301952941,673.878228968935,1125.19731198786,-1.89941113548862,0.99581456019871,1,848.801912083633,202.46184992697,444.839373235719
NA,"BARF1",NA,"+","chrEBV",17.8444673698419,24.389081756272,9.71463666398948,23.1304294171795,18.3850028144666,21.8741710441563,15.9242530624637,28.0711682678123,-0.0320710134940022,0.0990936033603894,0.132384892678315,21.9565307914774,18.6927236043499,19.9166512995227
NA,"BART",NA,"+","chrEBV",7425.55466576612,3961.46096803926,3418.34161068946,4130.98543424379,4323.33189403289,3466.59706729574,3494.27275272262,10559.8744076586,-0.0979437562883174,0.0442138896590174,0.0638396652982383,5840.24807589233,4651.9349145543,5097.55235005606
NA,"BBLF1",NA,"-","chrEBV",21.970697570512,21.7000485054677,12.3644086453328,19.3957519657964,17.3212305986134,0,0,0,6.77795514796771,0.99995461333795,1,0,18.5504274571444,11.5940171607153
NA,"BBLF2/3",NA,"-","chrEBV",68.5634167193243,109.977718270576,94.5102102009857,73.9076056747181,36.6883618382666,772.3081050335,380.739918023472,616.628765241728,-2.83356904356899,0.999999699926681,1,589.892262766233,76.7294625407741,269.165512625321
NA,"BBLF4",NA,"-","chrEBV",5.48479491522517,16.2245416710569,7.06623140978111,11.9449916076619,14.0263393918503,217.669195373238,163.470944228265,175.584450123985,-3.96633795697542,0.999999999997813,1,185.57486324183,10.9493797991151,76.433936090133
NA,"BBRF1",NA,"+","chrEBV",26.0520954057613,36.0526175303529,21.1987674504602,79.8832600210528,91.7054210574565,47.9226690040994,5.98086871989207,67.4257689764296,0.0285561027999219,0.208190020562082,0.256420891185723,40.4431022334737,50.9784322930168,47.0276835206881
NA,"BBRF3",NA,"+","chrEBV",20.5751846381832,24.3541980930408,35.3295151560356,33.5889194691217,45.3507402037803,120.91746177755,60.7726264582996,70.215053719472,-1.0210673098128,0.802450612375253,0.850777877112578,83.9683806517738,31.8397115120323,51.3879624394354
NA,"BcLF1",NA,"-","chrEBV",39.7603761008603,43.2557158778587,72.4299279255038,54.5022763406519,92.7671548192136,207.977038149624,66.7944474632129,139.074559119269,-0.617973943636665,0.649691405510398,0.705952968656973,137.948681577369,60.5430902128177,89.5701869745244
NA,"BDLF1",NA,"-","chrEBV",24.6807580964502,35.1507958096732,98.9276738492107,91.8287713706067,229.799430920287,238.805084347668,79.7457257799897,224.753771713805,-0.116162213424244,0.450697507768679,0.509542802843836,181.101527280488,96.0774860092456,127.961501485961
NA,"BDLF2",NA,"-","chrEBV",13.7129793404515,18.9314239671252,87.4437762963115,70.9206113502109,92.804373513241,125.869242429356,37.873476875785,61.8023231879814,-0.0423698081691605,0.209165177190582,0.257513590216652,75.1816808310409,56.762632893468,63.6697758700579
NA,"BDLF3",NA,"-","chrEBV",16.4696088170789,20.7707741793745,68.0031769807001,34.324656291349,35.6789650755136,91.5761498885831,36.8312718159138,50.5325872403313,-0.119882128409823,0.351730844886911,0.408422237759479,59.646669648276,35.0494362688032,44.2733987861055
NA,"BDLF3.5",NA,"-","chrEBV",94.6042715330988,186.54830166436,36.2148630100348,88.845162218524,66.8817464635539,448.428111754656,180.439228766528,171.382057479156,-0.946018806860826,0.815623725727831,0.863024851509013,266.749799333447,94.6188689779142,159.167967861239
NA,"BdRF1",NA,"+","chrEBV",20.5773289290512,38.7945633817292,43.2780549862638,40.3044264021721,49.6812373351659,18.6605151007122,2.9883699671649,21.0628431673558,0.180047251720212,0.740233445360213,0.79184146060234,14.2372427450776,38.5271222068765,29.4184174087019
NA,"BFLF1",NA,"-","chrEBV",9.59845173971173,12.6192504811701,25.615067453408,14.9311884780787,30.2109962598291,394.72257263967,326.93892099328,453.708037742862,-4.31501975605939,1,1,391.789843791937,18.5949908824395,158.543060723501
NA,"BFLF2",NA,"-","chrEBV",57.6134622492502,112.762677700729,82.1405633664269,93.2999687650146,61.5543492426923,988.31996922196,489.133881986878,461.997054476388,-2.89386112422205,0.999999977923672,1,646.483635228409,81.4742042648225,293.352740876167
NA,"BFRF0.5",NA,"+","chrEBV",185.098979973016,178.444709333199,188.140137593382,249.361061743559,244.884139544841,1548.30429792797,939.054792048212,1119.58558631841,-2.47689049967376,0.999999999894714,1,1202.31489209819,209.185805637599,581.609213060322
NA,"BFRF3",NA,"+","chrEBV",19.2156234790251,17.1604903530643,19.429649214971,19.4002265260561,25.9516678654426,205.004180814297,113.470219267339,115.09655130636,-2.72137172409244,0.999996500868522,1,144.523650462665,20.2315314877118,66.8410761033193
NA,"BGLF2",NA,"-","chrEBV",42.5180201763271,85.6741392500023,57.4111856293827,49.2662772568401,39.9435261848253,340.105778629885,177.360665425648,175.550303977861,-1.90186175299153,0.995703204984867,1,231.005582677798,54.9626296994755,120.978737066346
NA,"BGLF4",NA,"-","chrEBV",2.40083407329535,96.2657169598677,48.7182660425,50.328943413675,33.0581017421438,362.914996357972,297.354162452202,285.796823226755,-2.35644364151279,0.993636552148631,1,315.355327345643,46.1543724462964,147.104730533551
NA,"BGLF5",NA,"-","chrEBV",64.73390040409,83.1866723969361,78.3291498239253,67.8021211574124,61.7542297812993,1397.45958212531,750.99065476401,727.212828629099,-3.7063874594738,1,1,958.554355172808,71.1612147127326,403.933642385261
