"ENSEMBL","SYMBOL","gene_type","strand","chrom","WT_Bulk_c3-1","WT_Latent_c3-1","WT_Bulk_c3-2","WT_Latent_c3-2","WT_Bulk_c3-3","WT_Latent_c3-3","WT_Bulk_c4-1","WT_Latent_c4-1","WT_Bulk_c4-2","WT_Latent_c4-2","log2FoldChange","pvalue","padj","WT_Latent_groupMean","WT_Bulk_groupMean","baseMean"
NA,"BALF1",NA,"-","chrEBV",91.012308294073,12.0862551218433,142.672529442485,12.9987292704648,58.3369583483161,12.6606231798876,37.654970093717,15.4833909232368,56.8802657153067,3.53514050920918,2.53636910948459,1.91932120722359e-07,3.28843700170975e-05,11.3528278009283,77.3114063787795,44.3321170898539
NA,"BALF2",NA,"-","chrEBV",4149.96897953427,330.095932189584,5023.14921004977,581.681587669526,1811.706810788,310.449120776797,1641.09582574801,464.453341649127,1580.50360443612,274.60069949902,2.7588294697768,6.62724807431228e-15,1.62915046139833e-12,392.256136356811,2841.28488611124,1616.77051123402
NA,"BALF3",NA,"-","chrEBV",372.368274940175,39.1867721489845,342.151737706185,39.8366648236145,141.70535241264,23.3562129930283,158.278201316465,42.3710982769285,198.46559340758,48.1079867053492,2.54772217236325,5.91930257115064e-13,1.33870946949143e-10,38.571746989581,242.593831956609,140.582789473095
NA,"BALF4",NA,"-","chrEBV",4895.10156787319,13.5673577548385,7833.98777796894,5.97747216807743,1775.88856131911,36.0095501636868,2042.7185098092,17.9263355687496,2283.60007111599,39.9083864290261,7.30682520268849,1.06366822641625e-48,1.50349503803937e-45,22.6778204168757,3766.25929761729,1894.46855901708
NA,"BALF5",NA,"-","chrEBV",2044.60026311841,64.808641447353,2123.06033334207,65.7300759137012,533.636734810438,48.6587230943693,503.614894199682,67.6307839252923,717.326809155193,42.2408722601479,4.269847453736,7.49572617714886e-24,2.35449087808887e-21,57.8138193281727,1184.44780692516,621.130813126665
NA,"BaRF1",NA,"+","chrEBV",1405.50770390109,132.646337151185,1542.77527143495,206.191220647981,792.853391501126,114.838229879853,691.475433358428,330.821510856269,912.398854482782,323.909628666603,2.15571721286361,1.29881131130266e-10,2.48931496749331e-08,221.681385440378,1069.00213093567,645.341758188027
NA,"BARF1",NA,"+","chrEBV",235.789346590959,19.6303771998201,277.454426868099,26.9733991684626,102.29224721526,10.7106564745263,145.343439319529,25.2614129666883,105.682779432738,20.0134512215689,2.95680314169836,2.16274371904525e-13,4.9910828520334e-11,20.5178594062132,173.312447885317,96.915153645765
NA,"BART",NA,"+","chrEBV",11272.8239160524,8163.07244702772,7285.32915512525,4378.1970806685,3353.4112511045,3766.21133102833,4682.57735885611,4508.45046885715,6319.94010647091,4703.01711405986,0.0104723619080515,0.246166951986828,0.9708126458314,5103.78968832831,6582.81635752184,5843.30302292508
NA,"BBLF1",NA,"-","chrEBV",660.639457991788,24.1769127510046,1404.98268036465,24.0067227253709,501.744403156413,13.6362457736302,337.888717832223,21.1890998137492,299.863233094813,18.8611848694532,4.90317248532264,8.41547588532947e-30,4.32555460505935e-27,20.3740331866416,641.023698487978,330.69886583731
NA,"BBLF2/3",NA,"-","chrEBV",1221.8797067288,75.3805825613453,1678.68561377488,121.558943676526,730.999637807455,104.13824148095,369.4843980432,80.6687000913828,478.396490327775,39.9143066517554,3.29623066444499,1.73158031271629e-15,4.35126892804351e-13,84.332154892392,895.889169336421,490.110662114407
NA,"BBLF4",NA,"-","chrEBV",436.924025006749,6.02996136836939,670.05984935134,17.9325375264063,192.836577744508,7.78585775842269,204.090993744881,13.0373364490361,247.329331457187,15.2591980865796,4.76199154747814,1.17720204145332e-25,4.03387899538005e-23,12.0089782377628,350.248155460933,181.128566849348
NA,"BBRF1",NA,"+","chrEBV",1596.15210132111,28.641130427504,2605.11743654348,39.847352433641,530.967860732832,23.3572967592782,720.199775167406,87.1870860421432,936.668703652787,99.7644322610303,4.4053467350814,5.48733537254732e-20,1.47739972363727e-17,55.7594595847193,1277.82117548352,666.790317534121
NA,"BBRF2",NA,"+","chrEBV",626.851193349414,7.54375984368488,977.767051874618,15.9621394045084,225.171594641546,20.4427412691801,240.700818554624,26.8900985676132,194.502824983957,11.7551019645013,4.64044469105384,9.22099323806354e-20,2.4249067799075e-17,16.5187682098976,452.998696680832,234.758732445365
NA,"BBRF3",NA,"+","chrEBV",2530.46701755565,22.6249018421561,4856.30228885181,26.9235281890057,1160.76501444812,38.9354423186121,1344.08877561813,36.6680557946546,1385.29802264106,49.3469793446646,5.95507669557122,2.60333765655606e-49,4.20550603147657e-46,34.8997814978186,2255.38422382295,1145.14200266039
NA,"BcLF1",NA,"-","chrEBV",14883.2468499459,43.7095715478445,24057.2139452432,47.8062572566698,5449.41640291189,79.8010473861349,5743.67499251574,59.4825522665568,6465.17056505393,100.914490921594,7.36732725906483,2.40925170638599e-69,2.72438182958128e-65,66.34278387576,11319.7445511341,5693.04366750494
NA,"BcRF1",NA,"+","chrEBV",1666.44220513598,13.5656413720761,1397.56918709039,25.8969571036782,518.399794945394,42.8206181824196,417.240875484098,54.5936447383176,569.648617660157,52.8082031103459,4.48728959617462,5.76392807573281e-23,1.76158104541585e-20,37.9370129013675,913.860136063205,475.898574482286
NA,"BCRF1",NA,"+","chrEBV",111.553772328273,1.51050968917104,174.443583923532,0,43.9735473691348,0.973811481640338,55.6009238842851,4.07455379673845,47.6087551994131,0,5.70605699693378,3.4111364440826e-12,7.41790979032424e-10,1.31177499350997,86.6361165409277,43.9739457672188
