"ENSEMBL","SYMBOL","gene_type","strand","chrom","WT_Latent_c3-1","WT_Early_c3-1","WT_Latent_c3-2","WT_Early_c3-2","WT_Latent_c3-3","WT_Early_c3-3","WT_Latent_c4-1","WT_Early_c4-1","WT_Latent_c4-2","WT_Early_c4-2","log2FoldChange","pvalue","padj","WT_Latent_groupMean","WT_Early_groupMean","baseMean"
NA,"BALF1",NA,"-","chrEBV",13.8389189173209,2950.64785038158,14.9366382529486,4191.97313935864,14.1236823713384,2356.56721447925,17.7063447253435,1479.10678192736,3.99627688267212,1229.27309221628,7.50420694973815,4.97860302672475e-78,2.58865031815576e-76,12.9203722299247,2441.51361567262,1227.21699395127
NA,"BALF2",NA,"-","chrEBV",378.592474058741,195827.608598426,669.512481623588,198672.84624218,346.900311490654,97754.5501535482,532.017998098275,109887.994808387,310.936657941434,79354.2680985505,8.22719284472251,1.97874076247701e-152,8.82442274650805e-150,447.591984642539,136299.453580218,68373.5227824304
NA,"BALF3",NA,"-","chrEBV",44.9462462417412,11025.5576498671,45.8541305978278,9898.92042974375,26.0998982196038,6795.17356950572,48.5373526487288,7057.87536529534,54.4765505727583,5157.30432874694,7.48711032758341,1.90185201442329e-151,8.16739781749558e-149,43.982835656132,7986.96626863176,4015.47455214395
NA,"BALF4",NA,"-","chrEBV",15.5591232289451,58748.2710112519,6.87937467080273,70344.8421294927,40.2337016592487,57938.164201304,20.532120014031,52311.4139486679,45.1848136371595,47606.2486574136,11.1206181760264,1.49606354793108e-225,2.89114280637681e-222,25.6778266420374,57389.787989626,28707.732908134
NA,"BALF5",NA,"-","chrEBV",74.3341015794575,49946.5795076893,75.6590475756996,40624.7484308284,54.3748834063331,23813.798570861,77.4732953897284,16826.7979583281,47.8328810541905,12926.015431568,8.74501552854089,3.26059954150648e-136,9.94911886414937e-134,65.9348418010818,28827.587979855,14446.761410828
NA,"BaRF1",NA,"+","chrEBV",152.129989138601,66693.5542793637,237.318338319725,66490.2442146446,128.318275230949,44510.1148092768,378.935891202398,28160.6634106204,366.759957358093,22188.4074801551,7.4658432583005,4.71289306711719e-92,4.33698373914475e-90,252.692490249953,45608.5968388121,22930.644664531
NA,"BARF1",NA,"+","chrEBV",22.4848699505568,5741.89144063151,31.0055165885648,5620.47067370406,11.9525419665495,3703.1726230447,28.8982672271447,3033.12767338066,22.6319620121688,2530.82676737217,7.43051861197965,3.07233307674174e-112,5.39753060982128e-110,23.3946315489969,4125.89783562662,2074.64623358781
NA,"BART",NA,"+","chrEBV",9362.6984838645,20836.8081995279,5039.46288112817,18324.2211731534,4208.56969879818,15141.7626590145,5164.48616426912,9871.44878980279,5325.52501488377,8386.36004215939,1.24714299501689,1.28269018552849e-05,1.75531602752305e-05,5820.14844858875,14512.1201727316,10166.1343106602
NA,"BBLF1",NA,"-","chrEBV",27.6791758786541,8100.90871098244,27.5820629552409,11103.0980981809,15.2100129496226,10522.3777732696,24.2279822943033,3813.26709262726,21.3186533100003,4768.97157418229,8.34728703944504,2.09763397865018e-128,5.40490355165531e-126,23.2035774775642,7661.72464984849,3842.46411366303
NA,"BBLF2/3",NA,"-","chrEBV",86.4414735198121,61264.5042173186,139.891441830913,63026.1197821132,116.347046562992,46805.1577316406,92.3889772513215,25896.2389009859,45.1886892891909,19394.4811196716,8.78631460586346,2.17913254303208e-133,6.01596234201357e-131,96.0515256908459,43277.300350346,21686.6759380184
NA,"BBLF4",NA,"-","chrEBV",6.91517321171113,15003.0182271557,20.6382010207149,14104.5512869479,8.69916262696991,11270.599780153,14.9324075684694,7885.89739089885,17.2766178498329,6477.28704616693,9.59718005441849,8.64497472437702e-165,4.55629463314325e-162,13.6923124555396,10948.2707462645,5480.98152936
NA,"BBRF1",NA,"+","chrEBV",32.8467190455338,13935.8002283362,45.8609311873758,16845.7078908967,26.0979786159052,15145.733741124,99.8634193930002,9868.81847724143,112.957756813546,8757.19281716337,7.62703320896543,2.738817107697e-96,3.05351772728334e-94,63.5253610110722,12910.6506309523,6487.0879959817
NA,"BBRF2",NA,"+","chrEBV",8.64584421727093,6742.05486575966,18.3591346978752,8986.42352718921,22.8265951136199,6593.90313011128,30.7796994532874,2891.64874760999,13.3010043534905,2565.41953658437,8.13797525586025,2.4172185608293e-93,2.37522450956066e-91,18.7824555671088,5555.8899614509,2787.33620850901
NA,"BBRF3",NA,"+","chrEBV",25.9356364951593,25054.9607706705,30.9730329937201,41023.8136732538,43.4848294723894,37596.6847165812,41.9807815221583,29885.6009353752,55.8482107141835,24480.9110621055,9.61531319135364,1.00282795100514e-280,3.87593003063487e-277,39.6444982395221,31608.3942315972,15824.0193649184
NA,"BcLF1",NA,"-","chrEBV",50.1327242481421,93876.8947010815,55.0263944180757,106304.864634845,89.1734971314948,99327.1228949665,68.1375916751932,84156.6602129684,114.27119589766,74486.4167733614,10.2304773111331,0,0,75.3482806741131,91630.3918434446,45852.8700620594
NA,"BcRF1",NA,"+","chrEBV",15.5586112692646,47292.1672058849,29.8071733130249,41849.2018528879,47.8482306371202,43650.4388033197,62.5352681684127,21740.4567776567,59.7957574661143,19745.3382394397,9.61608229655992,2.93419809216056e-162,1.4792185599392e-159,43.1090081707873,34855.5205758378,17449.3147920043
NA,"BCRF1",NA,"+","chrEBV",1.72977750332373,1166.04136210522,0,942.407910754285,1.08648584232649,1193.00015400518,4.66014268489779,725.723653759245,0,817.236201850438,9.12300596877687,3.69194790871869e-50,5.10836945126411e-49,1.4952812061096,968.881856494874,485.188568850492
NA,"BDLF1",NA,"-","chrEBV",31.1178536886427,92624.8102289313,44.7139495477661,135563.519150049,121.791186341893,148749.777617365,114.797182565617,100705.22090863,283.055633081564,91220.1746881215,9.88122055009434,2.42238210903469e-119,5.29953218004854e-117,119.095161045097,113772.700518619,56945.8978398321
NA,"BDLF2",NA,"-","chrEBV",17.2884484446548,73173.6027662758,24.0804284906398,99308.3146400487,107.646527912318,105765.981634482,88.6539284226302,77116.6458539447,114.304770240786,75819.3919114406,10.212917441882,1.26494499956816e-147,4.88901242333092e-145,70.3948207022058,86236.7873612383,43153.5910909703
NA,"BDLF3",NA,"-","chrEBV",20.7536877156054,27626.192615773,26.4071425072786,40522.6047694265,83.6735356383898,37475.8144895647,42.8863916461012,23049.7640464156,43.9234005940212,21308.1952085293,9.39236661149685,1.17412945039695e-172,8.0082535160898e-170,43.5288316202792,29996.5142259418,15020.0215287811
NA,"BDLF3.5",NA,"-","chrEBV",119.282348679309,84390.5277794208,237.308594412951,69355.5880149609,44.5860713882325,31652.0987554055,111.070962982725,20201.775128586,82.3843567881988,18304.6544188658,8.51579484793209,6.68577045979622e-81,3.87607542406686e-79,118.926466850283,44780.9288194478,22449.927643149
NA,"BdRF1",NA,"+","chrEBV",25.9367460794155,53353.6295714451,49.334881615909,67980.0100669992,53.2649040779869,53265.9173726417,50.3709975742527,37996.5142185004,61.1773426007821,34631.2341921981,9.97875329775167,8.64834190505867e-288,5.01387621945776e-284,48.0169743896692,49445.4610843569,24746.7390293733
NA,"BFLF1",NA,"-","chrEBV",12.1015846360502,32096.9176472697,16.0520812463795,28984.1268560599,31.5343210737249,25963.9938400614,18.6653763568768,16520.6507053225,37.211554957985,14934.4596523023,9.97485930379879,4.25172775927754e-197,4.9298783368823e-194,23.1129836542033,23700.0297402032,11861.5713619287
NA,"BFLF2",NA,"-","chrEBV",72.6213066871313,79862.4747042143,143.404307302352,83903.6313655095,101.098493916489,59413.4235186977,116.606537402093,28595.9618358912,75.8002333840027,25836.2329659614,9.06369217856227,2.31759222443144e-149,9.59731494367234e-147,101.906175738414,55522.3448780548,27812.1255268966
NA,"BFRF0.5",NA,"+","chrEBV",233.3804153956,146125.214576199,226.997351841178,88942.7054970455,231.626777309988,56547.2061800975,311.738425884681,44413.2612601237,301.642655390848,39386.6861389768,8.15041325960988,3.36243261600892e-132,9.06683864712172e-130,261.077125164459,75083.0147304885,37672.0459278265
NA,"BFRF1",NA,"+","chrEBV",0,58608.1581055352,6.87888570509668,73032.6689987137,0,44993.1622572058,2.79998936561983,36402.7488255979,0,27826.0626081965,14.431014399973,2.35815482623439e-135,6.83570130254694e-133,1.9357750141433,48172.5601590498,24087.247967032
