	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000187742.15	626.730336270788	1.3400935741979	0.234510984007024	5.7144170874220634	1.1008070390090076e-08	5.232169214198874e-08
ENSG00000145022.5	296.63116503739815	2.1151336629060338	0.3076136446394966	6.87594227292757	6.158143555420407e-12	5.30716932234995e-11
ENSG00000132554.21	57.242678243218634	5.520361402468011	0.6830339886411371	8.082118158498234	6.36513865740738e-16	9.787960768768113e-15
ENSG00000081189.17	20.103595007226332	-2.9687938707513064	0.5990771368857498	-4.955612037181592	7.210296014332773e-07	2.4347361245384185e-06
ENSG00000169495.5	322.94041214671034	1.7197068930854402	0.3186280699741115	5.3972234562547055	6.768007583494695e-08	2.7753254626696546e-07
ENSG00000203993.7	125.26581628883359	-0.2998809261296536	0.5216061476984689	-0.5749183123182999	0.5653465444809626	0.6128067704550344
ENSG00000226779.1	1083.4203331984795	-4.055199167971842	0.7945507082709807	-5.103763832514035	3.329637604951818e-07	1.1992047263758729e-06
ENSG00000110171.21	90.48081153509607	0.6534317614824734	0.3382355508190372	1.9318837416711185	0.05337385693587615	0.07464725332494138
ENSG00000198833.7	82.46476449196163	-3.56343322067856	0.5919810610289643	-6.019505445807175	1.7495077142880392e-09	9.528134895349964e-09
ENSG00000289332.2	34.269990854865	5.4523071927857885	0.7923434409498094	6.8812422883818165	5.933283591576302e-12	5.127468492224479e-11
ENSG00000152465.18	99.16087884517174	2.810231886093531	0.32270816972050737	8.708276237714806	3.085306737468008e-18	6.576143454874511e-17
ENSG00000139899.11	50.43369617175347	-1.1924265129150307	0.460009823671086	-2.592176191801577	0.009537091415670036	0.015071967642799448
ENSG00000050426.16	18.335758091972753	-2.070321217377095	0.5872064192117828	-3.525712849250051	0.00042234463489181643	0.0008608805195943003
ENSG00000289440.1	40.34109829010941	-0.6323759684641165	0.459545001546137	-1.3760914955803905	0.16879330816674035	0.21129473572189325
ENSG00000273361.1	91.60618019435177	1.9337427363262825	0.4569724442200719	4.231639699034057	2.3199383100494513e-05	5.836123880212613e-05
ENSG00000293360.1	169.90347589856978	0.5640440273466688	0.21542772968481796	2.6182517365424345	0.008838157734939837	0.014066616344244684
ENSG00000162676.13	106.88077487005455	0.5863055001462958	0.4479984347606111	1.3087222067183995	0.1906284666537064	0.23608428736386775
ENSG00000287382.1	26.892582502656392	-1.408461734043509	0.45457514397970494	-3.0984134365833067	0.0019455979869900009	0.003540220931083314
ENSG00000198492.16	17.40145472842867	-0.6557619197261814	0.9415656321863172	-0.6964590648912078	0.48614138448953265	0.5391383867241271
ENSG00000083097.15	23.937132326718064	1.2457913089902597	0.5204488534629413	2.393686335748584	0.0166800063793005	0.025277864740031724
ENSG00000120860.11	19.384732470469416	0.9958716508228117	0.4645920951227577	2.1435398089579545	0.03206977808253135	0.04646784935099346
ENSG00000207452.1	9.115781637973944	0.7876144665766229	0.5798389956333964	1.358333041599349	0.17435803033594	0.21765266261991395
ENSG00000200487.1	20.363282292891203	5.61197320167319	0.9705990751216488	5.781968420864012	7.383156970479829e-09	3.630245049591728e-08
ENSG00000250642.3	21.12375029986094	6.002662622209255	0.960742229054943	6.247942934822295	4.158935567528263e-10	2.614545265598429e-09
ENSG00000110958.16	131.58582890404898	1.8565504044254582	0.30355322021640374	6.116062294123974	9.591584361917284e-10	5.5720000265434295e-09
ENSG00000139278.10	55.63455660627663	1.596304677709916	0.34420622625979314	4.637640332819223	3.5240933338156975e-06	1.0360900457525627e-05
ENSG00000208018.1	79.54283104578694	-3.992555119143226	0.6047536832474975	-6.601952546536635	4.057774132157468e-11	3.074695036854584e-10
ENSG00000207214.1	11.046478471219885	7.81835126366558	1.2921766960304157	6.050527987142672	1.4437187807860058e-09	8.058622447198755e-09
ENSG00000291100.1	16.464813968390043	5.22869940555628	2.1182404600671774	2.4684163597698716	0.013571236344981101	0.02079773737870333
ENSG00000290791.1	40.15329804959031	0.09397673838692383	0.6715333856066771	0.13994350899177307	0.8887046243069453	0.9030989330906665
ENSG00000108639.8	163.23895241566572	-0.5926195373386338	0.35702029763174925	-1.6599043283244777	0.09693370059462045	0.12787258989290343
ENSG00000064547.14	22.5631390050578	0.881253050237543	0.48464321872892735	1.8183542370587653	0.06901000806050091	0.09436983229546266
ENSG00000126870.16	55.46278729529944	2.420182550384678	0.5579565486297943	4.337582480800805	1.44058480506086e-05	3.775367195886314e-05
ENSG00000198551.10	77.66684383437035	1.5288861225659012	0.44716449211061243	3.419068708585452	0.0006283585765014513	0.0012467810591303306
ENSG00000185009.13	103.98877890708886	-1.37026215854003	0.29396310937429787	-4.661340538466343	3.1415642234822295e-06	9.323639516616608e-06
ENSG00000242444.4	144.57657771690754	-1.4058971149158142	0.3568603210055122	-3.939628566590059	8.160785927489739e-05	0.00018686412740536725
ENSG00000226469.1	9.305203756407188	0.8191722419117873	0.6689435461752696	1.2245760447132803	0.22073499825697682	0.26787067293312816
ENSG00000164087.8	110.25449744149766	2.579261182770798	0.42691507458482986	6.041625925903649	1.5256886269244513e-09	8.4410674121023e-09
ENSG00000143393.17	32.261009595676455	0.639231305153766	0.5000581370017604	1.2783139756238298	0.2011387420393641	0.2478288428034113
ENSG00000179335.20	177.75184219928724	2.3885456350174943	0.393396206157801	6.071603125881161	1.2663959463319503e-09	7.183877185611805e-09
ENSG00000225217.1	25.848848462812857	-0.20450473998649227	0.9225772248874725	-0.22166679869149802	0.8245732779306799	0.8492076076390489
ENSG00000089022.15	89.49275717669266	-1.9128166606350023	0.34542748265634926	-5.537534668421216	3.067589860376615e-08	1.3402547899723454e-07
ENSG00000213380.16	71.73420529472557	1.368970685342961	0.26394679646595476	5.186540256113842	2.1423673119791353e-07	8.02939815732204e-07
ENSG00000149218.5	23.83318337056693	-2.357474354279793	0.5790822993419045	-4.071052347755983	4.680122980805043e-05	0.00011164673605160016
ENSG00000238287.1	18.861281337289995	-3.5559009988246717	0.6598720753266055	-5.388773266492098	7.094023493153818e-08	2.901427861541529e-07
ENSG00000280010.1	34.631462485411994	1.4975525067779718	0.4026704852917745	3.7190520822325657	0.00019997182004184263	0.0004311419927637528
ENSG00000125871.14	27.22554118144327	1.4390095667329437	0.7268408438174807	1.9798138464193102	0.04772444992435732	0.06713524637341207
