Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
ENST00000000412.8,Lysosome/Vacuole|Golgi apparatus,Signal peptide|Transmembrane domain,0.22100000083446503,0.09719999879598618,0.11649999767541885,0.5306000113487244,0.030899999663233757,0.0066999997943639755,0.42820000648498535,0.8490999937057495,0.6858000159263611,0.029999999329447746
ENST00000001008.6,Cytoplasm|Nucleus,Nuclear export signal,0.728600025177002,0.5163000226020813,0.09950000047683716,0.2590999901294708,0.3831000030040741,0.013399999588727951,0.2768000066280365,0.1808999925851822,0.33329999446868896,0.026900000870227814
ENST00000002125.9,Mitochondrion,Mitochondrial transit peptide,0.1720999926328659,0.12030000239610672,0.05139999836683273,0.08489999920129776,0.9427000284194946,0.005100000184029341,0.07900000363588333,0.06400000303983688,0.07810000330209732,0.008500000461935997
ENST00000005082.13,Nucleus,Nuclear localization signal,0.38280001282691956,0.689300000667572,0.0860000029206276,0.23849999904632568,0.05959999933838844,0.012400000356137753,0.0820000022649765,0.06710000336170197,0.07209999859333038,0.0024999999441206455
ENST00000005257.7,Cell membrane,,0.37310001254081726,0.1907999962568283,0.039799999445676804,0.7541999816894531,0.23549999296665192,0.01850000023841858,0.2734000086784363,0.507099986076355,0.5612999796867371,0.11050000041723251
ENST00000005386.8,Cytoplasm,Nuclear export signal,0.8379999995231628,0.4235000014305115,0.01119999960064888,0.07580000162124634,0.1379999965429306,0.005400000140070915,0.26989999413490295,0.17399999499320984,0.2533999979496002,0.060100000351667404
ENST00000008440.9,Nucleus,Nuclear localization signal,0.40209999680519104,0.7577000260353088,0.0763000026345253,0.11829999834299088,0.07680000364780426,0.0035000001080334187,0.16779999434947968,0.07069999724626541,0.08749999850988388,0.016200000420212746
ENST00000009041.12,Endoplasmic reticulum|Golgi apparatus,Signal peptide|Transmembrane domain,0.15410000085830688,0.12200000137090683,0.029400000348687172,0.48890000581741333,0.08619999885559082,0.009600000455975533,0.6402999758720398,0.5570999979972839,0.7010999917984009,0.053700000047683716
ENST00000012443.9,Cytoplasm|Nucleus,Nuclear export signal,0.7666000127792358,0.5654000043869019,0.02810000069439411,0.2678000032901764,0.22699999809265137,0.02969999983906746,0.26809999346733093,0.1282999962568283,0.32510000467300415,0.024299999698996544
ENST00000013807.9,Nucleus,,0.40779998898506165,0.7973999977111816,0.032099999487400055,0.05090000107884407,0.2565999925136566,0.025299999862909317,0.06260000169277191,0.07720000296831131,0.08799999952316284,0.017799999564886093
ENST00000017003.7,Golgi apparatus,Signal peptide|Transmembrane domain,0.1695999950170517,0.1023000031709671,0.5570999979972839,0.17649999260902405,0.0908999964594841,0.015599999576807022,0.4174000024795532,0.1988999992609024,0.8934999704360962,0.053199999034404755
ENST00000023939.8,Nucleus,Nuclear localization signal,0.27309998869895935,0.8779000043869019,0.07119999825954437,0.09749999642372131,0.07559999823570251,0.0034000000450760126,0.11079999804496765,0.019600000232458115,0.17990000545978546,0.0007999999797903001
ENST00000025008.10,Cytoplasm|Lysosome/Vacuole,Nuclear export signal,0.6499000191688538,0.3779999911785126,0.051899999380111694,0.19679999351501465,0.17110000550746918,0.015799999237060547,0.2754000127315521,0.6333000063896179,0.37279999256134033,0.015599999576807022
ENST00000031146.8,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.13830000162124634,0.058400001376867294,0.021800000220537186,0.5756000280380249,0.09600000083446503,0.009100000374019146,0.4821000099182129,0.6366999745368958,0.5644999742507935,0.021400000900030136
ENST00000034275.12,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.5482000112533569,0.8519999980926514,0.11649999767541885,0.10719999670982361,0.13369999825954437,0.003800000064074993,0.1316000074148178,0.0868000015616417,0.0966000035405159,0.02410000003874302
ENST00000038176.8,Cytoplasm|Lysosome/Vacuole,Nuclear export signal,0.6371999979019165,0.3434999883174896,0.03700000047683716,0.25,0.1257999986410141,0.019099999219179153,0.2558000087738037,0.7208999991416931,0.2955000102519989,0.006099999882280827
ENST00000039989.9,Endoplasmic reticulum,Signal peptide,0.22859999537467957,0.10119999945163727,0.2712000012397766,0.21960000693798065,0.10930000245571136,0.006099999882280827,0.4332999885082245,0.2946000099182129,0.3917999863624573,0.03660000115633011
ENST00000040663.8,Cytoplasm,Nuclear export signal,0.7723000049591064,0.4453999996185303,0.0649000033736229,0.1665000021457672,0.5683000087738037,0.00839999970048666,0.13099999725818634,0.11559999734163284,0.20309999585151672,0.2655999958515167
ENST00000040877.2,Cytoplasm,Nuclear export signal,0.5412999987602234,0.4952999949455261,0.05849999934434891,0.18770000338554382,0.225600004196167,0.023399999365210533,0.4925000071525574,0.36559998989105225,0.28790000081062317,0.07940000295639038
ENST00000046640.9,Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.08349999785423279,0.05649999901652336,0.04479999840259552,0.46650001406669617,0.13779999315738678,0.005799999926239252,0.39959999918937683,0.6959999799728394,0.5482000112533569,0.018799999728798866
ENST00000046794.10,Cytoplasm,Nuclear localization signal,0.7821000218391418,0.31540000438690186,0.08619999885559082,0.298799991607666,0.05510000139474869,0.0026000000070780516,0.12349999696016312,0.4390999972820282,0.24140000343322754,0.002899999963119626
ENST00000052569.10,Cytoplasm,Nuclear export signal,0.6525999903678894,0.3472999930381775,0.08169999718666077,0.34220001101493835,0.164900004863739,0.012500000186264515,0.17409999668598175,0.29420000314712524,0.3483000099658966,0.010099999606609344
ENST00000053867.8,Extracellular,Signal peptide,0.131400004029274,0.15950000286102295,0.8834999799728394,0.14790000021457672,0.08799999952316284,0.0044999998062849045,0.18529999256134033,0.3675000071525574,0.1745000034570694,0.03009999915957451
ENST00000054650.9,Nucleus,Nuclear localization signal,0.31709998846054077,0.8592000007629395,0.07479999959468842,0.1339000016450882,0.18000000715255737,0.005799999926239252,0.13490000367164612,0.024399999529123306,0.06849999725818634,0.052000001072883606
ENST00000054666.11,Cell membrane|Lysosome/Vacuole,Transmembrane domain,0.16769999265670776,0.0982000008225441,0.022299999371170998,0.7813000082969666,0.061900001019239426,0.001500000013038516,0.3425999879837036,0.7275000214576721,0.3370000123977661,0.013299999758601189
ENST00000055077.8,Cytoplasm|Nucleus,Nuclear export signal,0.5184000134468079,0.829800009727478,0.017999999225139618,0.120899997651577,0.28690001368522644,0.004600000102072954,0.13920000195503235,0.19349999725818634,0.17509999871253967,0.04580000042915344
